Ensembl_ID	TCGA-L5-A4OG-01A	TCGA-JY-A6FB-01A	TCGA-V5-A7RE-01A	TCGA-L5-A43E-01A	TCGA-LN-A49M-01A	TCGA-KH-A6WC-01A	TCGA-2H-A9GJ-01A	TCGA-L5-A893-01A	TCGA-LN-A7HV-01A	TCGA-L5-A4OH-01A	TCGA-IC-A6RF-01A	TCGA-JY-A93F-01A	TCGA-LN-A4A9-01A	TCGA-L5-A4OJ-01A	TCGA-LN-A5U7-01A
A1BG	0.052728441	0.048565457	0.034710742	0.023026742	0.083388831	0.040739237	0.075613139	0.102527001	0.037168899	0.065253027	0.231451714	0.0995366	0.315012968	0.030417923	0.055159364
A2M	5.846546445	6.461121422	4.27441705	4.996927529	5.336567663	4.328415396	5.161845663	6.442884102	4.525390466	5.191997747	5.435954257	2.911907831	5.634080383	5.124559357	4.165209242
A2ML1	4.851411573	0.092996546	0.033336443	0.062297719	5.209022272	8.558107917	0.014125002	6.36684778	1.977780912	0.202726066	6.73873282	6.988030989	2.296943225	0.007208806	3.495713561
A4GALT	2.818316125	1.815879132	1.843828714	1.269258373	4.38462315	2.759961581	1.771037816	2.472675424	3.11405779	2.447344727	2.534225867	3.056819465	1.564922386	1.210064362	5.161337312
AAAS	2.958842656	3.552821368	3.542602685	2.670704988	3.20670254	2.586103977	2.851848103	3.313807186	3.65583214	2.937652848	2.77579496	3.201291332	2.769862959	3.703350542	2.979757048
AACS	2.284827959	2.272531278	2.656373307	1.986780384	2.554404954	2.376851431	1.836866516	1.999510715	2.986399379	1.63459989	1.78998366	2.393111699	2.825307565	2.642985858	2.706080112
AADAT	1.575775766	2.773747106	1.451224079	0.682924065	0.258549147	0.95826657	1.509918265	1.990455568	0.661013702	2.874157218	1.122371322	0.200107812	0.712723943	1.667313535	1.324179944
AAGAB	3.803812959	4.364229842	4.244047554	3.846478661	4.140657862	2.964743606	3.905386948	3.746674368	4.393473159	3.519020572	4.102942007	3.884940775	3.157646034	4.261410727	3.51592269
AAK1	2.232481665	2.163453839	2.171061591	1.754037387	2.202665073	2.140228628	2.115608556	2.13803307	2.178366007	2.389350886	2.039598564	1.95307938	2.414321025	2.053399822	2.716287491
AAMDC	1.06691122	2.283750403	2.087764832	2.298917688	1.073233456	1.189915328	2.142254235	1.546599749	2.521760083	2.020740505	1.726021469	0.832307562	1.522897144	2.487118174	0.846238951
AAMP	4.90023541	4.785351213	5.595000649	4.875331096	3.966005761	4.053327438	5.110945834	4.47191931	4.438716744	5.371861412	4.856641192	4.505352755	3.948504099	5.257558794	4.619784007
AANAT	0.184197179	0.177527361	0.031779251	0.291215227	0.248542705	0.150585386	0.106422534	0.396504711	0.243837624	0.202214276	0.357469887	0.234367813	0.884846607	0.008010847	0.356228788
AAR2	4.182782903	3.748891833	3.79882946	4.410113059	3.529209075	2.584628025	4.317468885	3.553265396	3.621066867	5.91852666	3.753570117	3.349822515	2.657672703	3.851291275	3.774809046
AARS2	2.342917055	5.083553313	2.536157338	2.661418769	2.08815709	3.036967046	3.119842525	2.815183829	2.743206589	3.232996823	2.203545224	2.377858276	3.241622698	2.993213516	2.759847185
AARSD1	1.03711592	0.788337862	0.799688043	1.776384922	0.942197246	0.462478072	0.839056154	0.921093411	0.817300704	1.411257097	0.852909467	0.881319408	1.227954171	1.114654277	0.581867973
AASDH	1.79110664	1.370709399	1.426183376	1.718348945	1.130715892	1.526580413	1.031888921	1.745871257	1.897093049	2.339786194	1.856494099	1.977802213	2.317198906	1.892144795	1.558632795
AASDHPPT	3.369733315	2.653830933	2.923168421	2.59282146	2.63944616	2.502575726	2.367460742	2.38693904	2.916227417	3.362430472	3.253210665	3.022317332	2.380204381	3.098857992	2.901062883
AASS	1.061460968	1.587002017	0.634556666	1.482418425	0.748205281	1.385120001	1.20917654	1.105158026	1.300979939	2.037106669	0.7294286	0.288373532	1.208275405	0.656612754	1.179875263
AATF	3.686304037	3.99850709	3.690064403	4.327593162	4.292401362	2.533551247	3.73121545	3.710486764	4.528195402	3.080242449	3.703224675	3.95462065	2.93550347	4.021382469	3.507938042
AATK	0.782624628	1.475391056	1.07904623	2.837975699	1.276230929	0.307736172	4.333750378	2.268619202	0.731016775	3.403634104	1.649407617	2.016255542	0.910693405	0.499098842	0.426498972
ABAT	0.891405865	1.682491704	0.325144255	1.987676151	0.586406322	2.059166988	3.514827471	2.550736918	0.923485177	1.210786698	4.041542442	2.126108078	1.058528165	0.77996289	0.385959246
ABCA1	2.430523354	1.206163012	0.959296503	1.814250384	3.343433269	2.055184648	1.68372179	1.992528027	3.006751713	1.286230308	1.525780674	0.802173761	3.926071945	2.103061825	2.860732588
ABCA10	0.959815225	0.239981002	0.285781924	0.574576697	0.128051997	0.248997373	0.25380545	0.440578042	0.072494029	0.454167496	0.301272438	0.076520107	0.629885614	0.82996726	0.041510028
ABCA12	1.375327196	1.066996214	0.381877299	0.07316479	2.885106906	1.335218923	0.98220706	1.590193677	0.957694098	0.523499906	4.14715835	3.806000807	1.528493154	2.516134136	2.351590459
ABCA13	0.40397372	0.140944146	0.047180299	0.683049558	1.64127731	0.652647519	0.629333239	0.498709624	0.678603848	0.780741917	0.42604621	0.051030243	0.17618739	0.58244461	3.810510373
ABCA2	2.899704175	3.156357984	2.990484666	1.606108977	1.341890589	1.592103543	3.481138003	2.188589724	2.431576538	3.283961657	1.752448808	1.102267452	2.166632869	2.417153707	2.061094976
ABCA3	2.187186633	0.95562816	0.165914823	0.303988441	0.699012929	0.893075103	1.252542091	1.455461821	1.098050955	2.465851437	3.57695857	0.12653196	0.577648472	1.829763409	0.14688549
ABCA5	2.211136051	0.632769455	0.593379892	2.422896972	1.257012735	2.178326002	1.507879306	1.71129535	1.14701912	1.902070987	1.876196706	1.337836211	2.89415496	2.118318096	1.847773625
ABCA6	0.127014006	0.028943633	0.028313396	0.129382198	0.172618797	0.186290509	0.088778824	0.320068301	0.033116209	0.257908459	0.189535864	0.040274167	0.662131182	0.157652685	0.038147691
ABCA7	2.652732658	2.95177348	1.43181456	1.36171589	2.365051583	2.806371862	1.780740133	2.457408158	2.493254472	1.649721977	2.383656928	2.194480353	2.719381632	2.681950245	1.751536863
ABCA8	0.415063299	0.144505916	0.085066571	0.534355526	0.03976714	0.177119371	0.089374518	0.952799297	0.11948723	0.136080556	0.258633326	0.009150428	0.330954796	0.195772458	0.025531287
ABCA9	0.147557997	0.177561532	0.075013858	0.311728831	0.184398233	0.12650684	0.308578587	0.300544252	0.046401032	0.378193482	0.184000358	0.009006098	0.366860869	0.332112676	0.077123167
ABCB1	0.704975852	0.462526111	0.23697639	0.440901618	0.179510574	0.626148997	0.459843882	1.024350661	0.260722935	0.579975143	0.615694501	0.042042874	0.354656581	0.442702518	0.159846215
ABCB10	3.190061519	3.360645823	3.472059119	2.77324937	2.525613301	2.10514265	2.509999576	2.838332798	2.563045397	4.533110569	2.751203884	2.859189094	3.096931266	2.111281653	2.861000803
ABCB4	0.074592615	0.074834181	0.066520173	0.190360555	0.108457888	0.052060488	0.223781493	0.191664339	0.039703046	0.199624937	0.111858053	0.043409794	0.168254261	0.062031015	0.07325095
ABCB6	1.123309081	1.142275705	1.243767521	1.052990722	0.92861385	0.877855754	1.644272055	0.933152188	1.153980192	2.353048312	1.01761295	0.893449363	0.964958024	1.201790123	2.012169431
ABCB7	2.932503863	2.662545632	3.377091929	3.254227629	2.626853758	2.504464136	2.724367223	3.060534106	2.319878459	3.618060618	2.904946697	2.759387015	2.389329512	3.595224611	2.618350629
ABCB8	2.182894897	3.065095705	2.456239032	2.197593273	2.483464375	2.139281095	1.946373762	2.824643033	2.47035762	3.561958318	1.986177253	2.651685142	3.275268075	3.097831526	1.88318193
ABCB9	1.413738724	0.638977089	0.836204205	0.613104271	0.776107086	0.747186812	0.389512476	0.485997067	0.936291429	0.619302014	1.440076154	0.753354187	0.883275931	0.625876654	0.65897372
ABCC1	4.228638573	4.378001855	5.151140427	4.055442609	4.37299498	4.619774876	4.204943586	4.050217115	4.636875023	4.676193726	5.056522046	3.262672132	3.283235135	3.874837694	6.690228976
ABCC10	2.540731624	4.941449989	3.176452355	2.520560032	2.444231065	2.012498764	2.983136283	2.696385042	2.833722055	3.077432848	2.863362826	1.8761728	2.52565575	2.851710791	2.278203394
ABCC11	0.155608393	0.121370118	0.188649466	0.077456297	0.14363773	0.069142471	0.249061247	0.138718556	0.18665445	0.166370335	0.065580402	0.101739967	0.378621633	0.047765162	0.127444269
ABCC2	0.129769068	0.42235447	0.482542922	0.373827749	0.334332268	0.388793747	0.584594617	0.214821047	0.150876766	4.49904362	1.293041876	0.209282189	0.770510124	0.147461906	0.381198721
ABCC3	5.771309326	5.910563994	4.503913949	5.69660747	1.95587822	1.741002471	6.060569284	5.141889346	1.241231141	5.769405369	4.521248431	0.164196584	1.157485899	5.590363087	4.47534175
ABCC4	3.062039971	1.769531675	2.527552651	1.324915278	1.711054883	0.718657406	1.819739832	1.317883748	1.221191923	2.701815485	1.431316226	1.273875329	0.934936338	1.49649833	2.698481385
ABCC5	1.829008238	1.767712992	2.605003858	2.372018508	2.847864354	3.066587494	4.001172687	2.575692955	2.7708126	2.670592393	3.789512381	3.214084384	3.82492147	2.865819377	5.578250003
ABCC6	0.656313614	0.356600476	0.941948958	1.235127455	0.13418355	0.382469908	1.78496581	1.778308511	0.415675868	2.089427751	0.204349194	0.102748371	0.108410675	0.840339323	0.260261196
ABCC9	0.288176248	0.439239459	0.09967839	0.288321277	1.014250453	0.206272119	0.131481126	0.600919118	0.823958905	0.325792313	0.551804414	0.1573671	1.379163926	0.314332407	0.221564519
ABCD1	2.836226099	3.870724508	2.82749947	4.240306979	4.884492053	1.734789083	2.94471511	2.774608917	3.284417052	3.0607547	3.026804632	2.691976508	2.720336095	3.565981571	2.429359572
ABCD2	0.362073106	0.022886081	0.022386724	0.109059537	0.024843786	0.03667924	0.040957451	0.234939474	0.047566652	0.028298747	0.063089636	0.003305131	0.304586549	0.134538351	0.048190952
ABCD3	2.827928453	3.829106279	3.905232461	3.841938763	2.603984338	3.519913388	3.758058489	4.158238063	2.670214616	3.662511936	2.248466431	2.576388971	2.412510241	4.150787662	2.360817175
