Ensembl_ID	TCGA-L5-A4OI-01A	TCGA-L7-A6VZ-01A	TCGA-JY-A93D-01A	TCGA-VR-A8EX-01A	TCGA-L5-A8NF-01A	TCGA-L5-A8NH-01A	TCGA-L5-A4OT-01A	TCGA-2H-A9GO-01A	TCGA-VR-A8EU-01A	TCGA-VR-A8EZ-01A	TCGA-LN-A5U5-01A	TCGA-L5-A4OO-01A
A1BG	0.057297373	0.050806587	0.085655964	0.032284509	0.029266253	0.035474122	0.037224697	0.205142442	0.093075812	0.109278351	0.017867984	0.126578544
A2M	4.924282451	5.507797073	8.788852414	2.999135145	6.00069181	5.956455599	7.587349722	4.36565482	4.89805828	5.24707723	4.842226708	7.601426139
A2ML1	0.009586819	0.271671661	0.045009863	7.039618063	0.01345184	0.053183248	0.116676579	0.034466553	5.228505105	0.102642544	2.972948678	3.237355474
A4GALT	1.072427935	1.152843442	3.010597612	4.427720104	1.573322602	1.520001448	2.475860778	1.050991622	3.100052853	5.288606459	4.134614985	3.454847369
AAAS	2.973806259	3.424226171	2.927173877	3.552753544	3.038239147	3.306805457	2.842821251	3.628818204	3.146463297	4.441830292	4.198334773	2.805788435
AACS	1.523427411	1.565977403	1.454618786	2.774994969	1.744825409	1.323433208	1.659559665	1.463415622	2.065763098	2.145477044	2.327960964	1.747883101
AADAT	0.113258041	1.298587467	1.042298999	0.739028623	2.169123289	1.772724647	1.432525616	1.869326538	1.157948116	1.653401781	0.754147895	1.872562934
AAGAB	4.260104866	4.690888961	4.180868661	3.72189256	3.734239321	4.124024416	4.113136659	5.183935887	3.416074788	3.400125778	4.252373717	3.723217931
AAK1	1.910832751	2.105235963	2.889050583	2.069707276	1.841458285	2.154684794	3.093957652	2.276609744	2.268681326	1.908412112	1.432785804	2.21852276
AAMDC	2.191183846	2.732255584	1.950723738	1.58350107	1.714393467	2.613444205	2.157834261	1.911743211	1.183292833	2.474086174	1.916457342	2.429307066
