Ensembl_ID	TCGA-BR-8680-01A	TCGA-IN-A7NR-01A	TCGA-CG-4440-01A	TCGA-R5-A7ZI-01A	TCGA-CG-4462-01A	TCGA-R5-A7O7-01A	TCGA-VQ-A8DZ-01A	TCGA-CG-5719-01A	TCGA-VQ-A8PQ-01A	TCGA-IN-7808-01A	TCGA-D7-A748-01A	TCGA-CG-4460-01A	TCGA-CG-4306-01A	TCGA-VQ-A8PJ-01A	TCGA-R5-A7ZF-01A	TCGA-CG-5724-01A	TCGA-CG-4465-01A	TCGA-BR-7957-01A	TCGA-BR-7196-01A	TCGA-CG-4301-01A	TCGA-CG-5722-01A	TCGA-BR-8289-01A	TCGA-CG-5716-01A	TCGA-CD-8529-01A
A2M	3.924870525	6.719393809	5.432557947	5.023007339	9.141543357	6.04641949	6.236905708	7.767349649	8.038650703	5.739727121	7.433713556	7.031077118	6.163461591	5.427567211	4.560037234	4.848193324	6.845636083	8.447767131	8.866959104	7.177283023	6.800603832	6.740571311	6.533920113	7.48754518
A4GALT	1.128224041	2.208743924	2.661294762	0.690846229	3.558697178	2.788451392	2.154008113	3.410398417	2.671823248	1.895968474	2.899456815	1.798707327	1.886014411	1.399595215	3.919546365	3.818601435	1.101986244	3.463808156	3.763733362	1.487508587	2.347404766	2.993787881	2.118817064	3.364178796
AAAS	3.710585267	3.284948487	3.988751329	4.159895244	3.07420238	2.865180398	3.707653081	3.324939307	2.975283662	3.553536679	2.804030844	3.599594828	3.591234236	3.36357563	4.180506267	4.118389677	3.550740294	3.162815466	3.365413636	2.777671026	4.088666476	3.770246291	3.352786044	3.118450435
AACS	1.709428707	1.94656716	2.277706798	1.795368594	1.254390895	1.099823535	2.227991824	2.003309799	1.862148015	1.786623449	1.082617447	2.110992353	1.272257763	2.184115083	1.195072971	1.712323979	1.434267469	1.506951196	2.141811023	1.421692137	2.137751775	2.066396803	2.222891988	1.807844201
AADAT	3.319525688	1.567933686	2.07074878	1.174865959	1.612769156	1.128343221	1.316970158	0.735530299	1.531667854	0.966165048	1.054330163	2.072807237	0.552420753	1.911269932	1.988884121	0.926948777	1.477529823	1.883045135	1.51785495	1.923065429	0.898248984	1.489244382	1.479344736	1.536215776
AAGAB	4.099606045	3.453686093	3.98802329	3.631945799	3.504563339	4.901004146	4.264257363	3.757150553	3.528614576	3.606125925	3.176862777	4.881365152	4.116608776	3.901632274	3.785998767	3.405114432	4.11041104	4.133275935	3.445675092	4.13202527	3.652067513	4.054286548	4.144765524	3.541508949
AAK1	1.098043285	2.183070342	1.750844675	1.649333754	2.33117613	2.183952654	1.607321552	1.609876447	3.227870686	2.248549812	2.243355326	2.5364324	1.75516966	1.717886515	1.604634336	1.638159236	1.996437975	2.24574481	1.915696811	2.325676387	1.364505458	2.026036134	1.999435606	2.162911471
AAMDC	2.437822307	2.134631007	2.041154585	2.948456615	2.279217881	2.06824835	2.123416908	2.424055123	2.229735418	2.035035631	2.264153723	2.884617298	2.548994852	1.700597583	2.159046964	3.718340526	2.156630507	2.213535425	2.132283577	2.525870615	2.81933441	3.044893365	1.266673197	2.288352799
AAMP	4.85263239	4.39788434	5.009283755	4.900624739	3.926415117	5.33871031	4.625925967	4.95571368	4.156779738	4.310094943	4.016035419	4.740890384	4.44708843	4.93047163	4.996821524	5.263130581	4.23569992	4.898471125	4.990515634	4.170917151	5.170726356	5.180496216	5.341078608	4.905983524
AAR2	3.692293606	3.408834073	4.296064859	3.918382723	3.497303852	3.127124793	4.319282148	4.204222078	3.794651288	3.835026763	3.260797761	3.794872571	3.691579266	4.318365461	4.290667504	4.370511586	3.393460525	4.062879875	4.256009693	4.108512771	4.159482668	4.911905767	3.873720548	4.171650716
AARS2	2.991014513	2.118683557	2.566675117	1.921562085	2.085055742	2.112407359	2.880089805	2.075469622	2.661376753	2.430990865	1.350558336	2.468014628	2.23655799	2.72658913	2.460121256	2.107115028	2.226799873	2.730176734	2.717561679	2.024214222	2.416981648	3.136062828	2.564274447	2.744295682
AARSD1	1.24546484	1.018179372	1.438527773	1.072171719	0.714807198	1.174095048	1.421757249	0.667868157	1.099221599	1.265475827	0.662272129	1.203676858	0.917843365	1.038064494	1.260166234	0.74075931	0.682374158	0.67516952	0.703734166	0.95493294	0.826375586	1.283529126	0.553586851	0.979572511
AASDH	1.818422513	1.696752496	1.964989836	1.47333743	2.01468671	1.278814172	1.337369988	1.03710665	2.305001557	1.662957272	1.355602805	1.953008869	2.09578293	1.244310996	2.23370541	1.266562065	1.837985046	1.292955852	1.48814796	2.286160988	1.637620368	1.680187265	1.41961745	1.237633416
AASDHPPT	3.24819422	2.455439431	3.421259344	2.8215541	2.755246665	2.065561835	3.104535418	1.971165506	2.763941775	2.202414476	2.108060216	3.042237259	3.303325283	2.487003657	3.771152641	2.093977566	3.089316285	2.704746205	2.649143862	2.807328273	2.785390817	2.594366566	2.300529045	2.137018871
AASS	0.525616138	1.284064991	1.689299177	0.401443179	1.782215144	0.646912543	0.654583787	0.727995116	1.738683303	0.91185764	0.617904964	1.736562122	1.550511478	0.651228522	0.644164815	0.295031993	0.534348773	1.469298067	1.614536456	1.157302756	0.610264841	1.438973709	0.32374502	1.167400128
AATF	4.21180652	3.43737203	4.451955486	3.504187855	3.190361474	3.81084074	3.600753985	4.563249733	3.435290247	3.451042552	3.059269136	3.884860581	4.087455489	3.444634199	4.150506882	5.102577618	3.666627628	3.825011371	4.194790792	3.352993404	4.16727877	4.224611195	3.8649132	4.124017056
AATK	2.749208671	0.807169017	0.5433552	2.099534771	2.260567983	0.259489623	2.399302247	2.555511048	1.767032207	0.460569978	0.574956739	2.370963	1.633416608	4.953582788	1.421181504	0.957873615	2.658694429	1.817078544	1.570821719	0.54837907	3.619042112	2.369409635	1.951857233	1.918146598
ABAT	1.297588121	1.631865003	0.286812113	0.377277866	1.820666027	1.134846029	1.596725082	1.618753645	2.24190203	1.050251292	0.891704774	2.227276525	0.782126451	1.968648455	1.072490592	0.208741197	1.306126038	1.06643286	1.754597786	1.71179018	1.172429288	0.972840129	1.100503897	2.656252342
ABCA1	1.037166312	2.095463108	2.431687671	1.817490262	4.213784789	1.716113022	1.691714903	1.835621406	3.458561574	2.624566636	3.767312889	2.069988281	2.692085238	1.11821464	0.911950515	1.87126385	3.29858668	3.863222883	3.025913192	2.895543485	1.873650397	2.968890645	1.658344159	2.854780224
ABCA10	0.088107292	0.347335458	0.378121629	2.029522476	1.349594521	0.163743529	0.228954342	0.243632329	1.100335396	1.097628167	0.415493056	0.287771997	0.391524533	0.82231837	0.156357315	0.09997833	0.174102998	0.68235067	0.793618329	0.766512433	0.066113382	0.246635561	0.260864197	0.152150645
ABCA2	3.462441323	2.494121727	3.398577763	2.610074982	2.627990477	3.142491501	3.196088257	2.773651613	3.705307201	3.231829864	1.797497962	2.552324544	2.025689565	2.506957776	2.737727193	2.418909062	1.983159295	2.782539966	2.805492338	1.914204625	2.238705153	2.7935222	2.30932201	3.523918799
ABCA3	0.581078159	1.796752359	1.652976991	1.514687422	1.310071156	2.786396489	0.735218105	2.41167725	2.802670681	2.141213257	0.525019317	3.086322991	1.754850534	0.486843724	2.858442259	3.335047725	0.323271376	2.095858124	1.845585062	0.668892254	3.33639636	1.931259183	1.83249151	1.493915088
ABCA5	0.4390961	1.296965713	0.755618749	0.795144253	1.039505109	0.401419974	1.28480218	0.51387097	1.750481607	1.817728829	0.922825462	1.136585557	1.472283376	1.883028173	1.267888512	0.386223461	0.86085771	0.766917135	0.808915795	1.748075763	0.26745879	1.057699871	0.816644497	0.963569449
ABCA6	0.198214824	0.208157039	0.142624905	0.121051256	1.404372014	0.324700063	0.139197512	0.373605698	1.194832722	0.71620061	0.899459195	0.296061064	0.449101799	0.234842761	0.057684011	0.135082973	0.205833965	1.156250979	1.056507961	0.488531761	0.192791289	0.538833909	0.280995593	0.391301669
ABCA7	2.576277995	1.373759717	2.320596543	1.176503961	1.651198227	2.768199598	2.64614768	2.149091657	3.58190216	3.084199709	1.646577499	1.828662075	1.832504826	2.287374882	1.822257103	1.688699315	1.825830886	2.212601712	1.643737601	1.685660261	2.201276926	1.78823914	2.113112579	2.147396155
ABCA8	0.125934611	1.140583167	0.226196358	0.119483977	2.974837505	0.579355688	0.189611875	0.632385435	2.425179719	1.291131695	1.526518619	1.518173058	0.582467082	0.083934194	0.062135379	0.082049672	0.137007628	2.286773531	2.523334536	1.283093934	0.553272168	0.928335888	1.26699445	0.660656575
ABCA9	0.105699439	0.378972728	0.13880109	0.051900111	1.591793304	0.264638763	0.279765633	0.934362584	1.099138428	1.156793159	1.16133943	0.211996104	0.352901954	0.161110096	0.080179859	0.073128397	0.164818682	1.130911038	1.443830502	0.475880398	0.084577177	0.769470352	0.061771688	0.308211481
ABCB1	1.01225169	0.698321159	0.407092922	0.54150368	2.406330993	0.719188635	1.092129163	0.721358204	2.212654578	1.247228377	0.532058077	0.794047154	1.224275369	0.59809989	0.209442983	0.14669002	0.534581063	2.19317699	1.537662519	2.717117057	1.137028762	0.994718451	0.83530922	1.94852276
ABCB10	3.21504146	2.420711246	3.3551552	2.574164691	2.485526486	1.99112084	3.237881725	2.490728029	2.703954856	2.151182066	2.18356874	2.499561714	3.152877526	2.993755063	2.927413283	2.044821947	3.512435055	2.748194094	2.234203316	2.550687035	2.544495981	2.843171236	2.131516732	3.037820335
ABCB4	0.124983043	0.308167058	0.449216945	0.146925611	0.23668943	0.157746863	0.308336211	0.215819867	1.315778264	0.93389372	0.166556204	0.124623522	0.18986045	0.58428183	0.057068382	0.078736132	0.193903928	0.234703959	0.259436919	0.260029027	0.20698422	0.130305095	0.184391651	0.727162653
ABCB6	0.986924487	0.480890543	1.396124628	0.658853805	0.491221127	1.417105853	1.577111346	0.749959074	0.80104799	1.273111858	0.240467648	0.905391638	0.36072872	0.967216478	0.745025535	0.559763175	0.670627348	0.461522037	0.470926567	0.817023718	0.324702291	1.704868454	1.071047427	0.938692099
ABCB7	3.129680508	2.582992902	3.817537378	3.126322155	3.031304487	2.665611067	2.621389497	2.355665987	3.451959196	2.706879515	2.514371518	3.638251123	3.366833462	3.335708896	3.317398856	2.578253013	3.818130564	3.089899168	2.729477742	3.021225186	2.523766619	3.081073257	2.721138462	2.751933011
ABCB8	2.545609115	2.220717493	3.036496804	2.909793987	2.03151702	2.312893806	2.377442232	2.320221418	2.542375709	1.950125552	1.990206501	1.514859943	1.835329343	2.548303012	3.146126826	2.642580579	1.916793883	2.189567362	2.807602889	1.427645875	2.126328975	3.075340539	2.579435475	2.086649761
ABCB9	0.588827766	0.738036099	0.606514226	0.514170323	0.535314807	0.872346842	0.857257126	0.924404929	0.946699581	0.679339422	0.757028099	0.806427412	0.384169097	1.003913554	1.230466542	1.33627195	0.179800558	0.715572764	0.44802225	0.536598354	0.958284902	1.084645057	0.599044196	1.064015442
ABCC1	3.80341289	3.752111021	3.596187093	3.138937251	4.220338343	3.481383434	3.216778627	3.97651723	4.509196952	4.341267566	3.025557637	2.993159476	3.522831758	3.520731397	3.429791285	3.414535944	2.89911621	4.082007741	4.587060711	3.811941823	3.865231299	3.822307435	4.30301361	4.294285482
ABCC10	2.985642481	2.130815279	1.834398559	1.597021514	2.284866688	2.36361758	2.803486376	2.08065872	2.746957353	2.426975352	1.797456704	1.747484866	1.67669482	2.817805127	2.311907175	2.242083259	1.951079419	2.406264075	2.156160772	2.053057333	2.119348572	2.606031973	2.243176056	2.304779938
ABCC11	0.155946783	0.088356629	0.164674585	0.019860594	0.098389738	0.231791408	0.063875172	0.124718974	0.17555586	0.142564577	0.162385361	0.06729064	0.037408318	0.168576032	0.277956041	0.118717313	0.052021577	0.491866923	0.08817619	0.084030572	0.186265631	0.103089479	0.090013663	0.075771162
ABCC2	0.378422519	1.888316741	3.833752454	0.14721698	0.182674209	0.209527234	1.891934149	0.743618257	1.095168194	0.238519753	0.240965145	0.142017946	0.172298177	0.502686713	1.505569782	0.098128479	0.492241963	0.376063756	0.115085889	1.214373726	0.099868372	0.103068724	0.160421759	0.361029155
ABCC3	3.745589169	4.787898026	5.552550554	1.697053469	4.38000018	3.213301951	4.647442867	5.382527795	4.772348507	4.465317748	4.377871461	2.392972934	4.042264301	5.330740167	3.365143742	4.21955865	4.546035851	3.860948852	4.536796544	4.502736932	2.89935165	4.130213916	4.238916375	4.172069154
ABCC4	2.366492757	1.334322384	2.48736185	0.796086706	2.055166997	2.389692269	1.721472773	1.773459343	2.549904589	1.170649333	1.328241724	1.918082029	1.873542254	2.554407898	2.570347313	1.763780428	1.391803428	2.553986023	1.976550421	2.222736215	3.068034102	2.959443822	1.975105679	2.107164651
ABCC5	1.530138525	2.454028917	1.796358873	1.146824651	2.346485431	2.077126697	1.253049	1.957256643	2.401696316	1.607733358	1.641300578	3.329143519	2.199053662	2.55889494	1.497553307	1.298696976	1.631656552	2.228493757	2.240317288	3.223790223	1.525378935	2.755016934	3.205638986	1.879931452
ABCC6	0.857445333	0.627432864	0.813464895	0.38468107	0.434372731	1.088418724	1.781497338	1.058744004	0.93362528	1.077617292	0.549802314	1.025684634	0.707796599	1.829522842	0.496652449	0.201515318	0.891968732	0.78055057	0.20038503	1.252903581	0.248178608	1.117684474	0.601367846	1.374612108
ABCC9	0.334212199	0.732115807	0.944510576	0.380616764	2.862996454	0.534631685	0.661556559	1.669069481	2.482596993	0.750440628	1.872494495	0.763852642	0.897368397	0.463725026	0.355240707	0.467235903	0.897635446	4.072732266	2.949489204	1.314610407	0.642796746	1.231188733	0.670123657	1.179158708
