TF	Gene	Input
ATF1	BCL2	1
ATF1	CCNA1	1
ATF1	CFTR	1
ATF1	CGA	1
ATF1	CYP11B1	1
ATF1	CYP11B2	1
ATF1	ERBB2	1
ATF1	FLT1	1
ATF1	FTH1	1
ATF1	GABPA	1
ATF1	IL10	1
ATF1	LDHA	1
ATF1	MAP1LC3B	1
ATF1	MITF	1
ATF1	MUC2	1
ATF1	NTS	1
ATF1	PCSK1	1
ATF1	PLAUR	1
ATF1	SLC20A1	1
ATF1	SLC22A8	1
ATF1	TGFB2	1
ATF1	TH	1
ATF1	TOP2A	1
ATF1	USP7	1
ATF1	WDR18	1
ATF1	GRIN3B	1
ATF1	LLNLR-284B4.2	1
ATF1	LLNLR-284B4.1	1
ATF1	TMEM259	1
ATF1	RNU6-2	1
ATF1	CNN2	1
ATF1	AC011558.5	1
ATF1	ABCA7	1
ATF1	HMHA1	1
ATF1	C19orf26	1
ATF1	ATP5D	1
ATF1	MIDN	1
ATF1	CIRBP	1
ATF1	TCF3	1
ATF1	ABHD17A	1
ATF1	CSNK1G2	1
ATF1	MOB3A	1
ATF1	TMPRSS9	1
ATF1	TIMM13	1
ATF1	SGTA	1
ATF1	ZNF555	1
ATF1	ZNF556	1
ATF1	AC006277.3	1
ATF1	AC005264.2	1
ATF1	NFIC	1
ATF1	FZR1	1
ATF1	AC005786.6	1
ATF1	AC005786.3	1
ATF1	DAPK3	1
ATF1	EEF2	1
ATF1	SNORD37	1
ATF1	SH3GL1	1
ATF1	CHAF1A	1
ATF1	DPP9	1
ATF1	AC005523.3	1
ATF1	FEM1A	1
ATF1	C19orf70	1
ATF1	HSD11B1L	1
ATF1	RPL36	1
ATF1	LONP1	1
ATF1	CATSPERD	1
ATF1	DUS3L	1
ATF1	C3	1
ATF1	GPR108	1
ATF1	MIR6791	1
ATF1	TRIP10	1
ATF1	PEX11G	1
ATF1	C19orf45	1
ATF1	XAB2	1
ATF1	PET100	1
ATF1	CTD-3214H19.4	1
ATF1	PCP2	1
ATF1	STXBP2	1
ATF1	CTD-3214H19.6	1
ATF1	TIMM44	1
ATF1	NDUFA7	1
ATF1	RPS28	1
ATF1	MIR4999	1
ATF1	RAB11B	1
ATF1	RAB11B-AS1	1
ATF1	ZNF266	1
ATF1	ZNF426	1
ATF1	CTC-543D15.8	1
ATF1	ZNF121	1
ATF1	ZNF561	1
ATF1	ZNF561-AS1	1
ATF1	ZNF562	1
ATF1	PPAN-P2RY11	1
ATF1	PPAN	1
ATF1	SNORD105	1
ATF1	S1PR2	1
ATF1	DNMT1	1
ATF1	MRPL4	1
ATF1	CDC37	1
ATF1	PDE4A	1
ATF1	YIPF2	1
ATF1	C19orf52	1
ATF1	PRKCSH	1
ATF1	ZNF653	1
ATF1	ECSIT	1
ATF1	CNN1	1
ATF1	ZNF490	1
ATF1	ZNF791	1
ATF1	FBXW9	1
ATF1	RNASEH2A	1
ATF1	GCDH	1
ATF1	CTC-425F1.4	1
ATF1	RAD23A	1
ATF1	CTC-250I14.3	1
ATF1	STX10	1
ATF1	IER2	1
ATF1	CTC-250I14.6	1
ATF1	CTC-250I14.1	1
ATF1	CACNA1A	1
ATF1	CCDC130	1
ATF1	RFX1	1
ATF1	CTB-55O6.13	1
ATF1	AC005785.2	1
ATF1	AKAP8	1
ATF1	TPM4	1
ATF1	CTD-2231E14.2	1
ATF1	RAB8A	1
ATF1	SLC35E1	1
ATF1	CTD-3222D19.8	1
ATF1	CTD-2521M24.4	1
ATF1	MVB12A	1
ATF1	CTD-2521M24.8	1
ATF1	COLGALT1	1
ATF1	CCDC124	1
ATF1	RAB3A	1
ATF1	AC068499.10	1
ATF1	JUND	1
ATF1	MIR3188	1
ATF1	GDF15	1
ATF1	AC005253.4	1
ATF1	UBA52	1
ATF1	C19orf60	1
ATF1	CRLF1	1
ATF1	COPE	1
ATF1	DDX49	1
ATF1	GATAD2A	1
ATF1	POP4	1
ATF1	CTD-2540B15.9	1
ATF1	SBSN	1
ATF1	GAPDHS	1
ATF1	TMEM147-AS1	1
ATF1	TMEM147	1
ATF1	AC002115.9	1
ATF1	HAUS5	1
ATF1	RBM42	1
ATF1	ETV2	1
ATF1	COX6B1	1
ATF1	KMT2B	1
ATF1	IGFLR1	1
ATF1	U2AF1L4	1
ATF1	PSENEN	1
ATF1	AD000671.6	1
ATF1	AC002398.9	1
