TF	Gene	Input
ATF1	BCL2	1
ATF1	CCNA1	1
ATF1	CFTR	1
ATF1	CGA	1
ATF1	CYP11B1	1
ATF1	CYP11B2	1
ATF1	ERBB2	1
ATF1	FLT1	1
ATF1	FTH1	1
ATF1	GABPA	1
ATF1	IL10	1
ATF1	LDHA	1
ATF1	MAP1LC3B	1
ATF1	MITF	1
ATF1	MUC2	1
ATF1	NTS	1
ATF1	PCSK1	1
ATF1	PLAUR	1
ATF1	SLC20A1	1
ATF1	SLC22A8	1
ATF1	TGFB2	1
ATF1	TH	1
ATF1	TOP2A	1
ATF1	USP7	1
ATF2	APOC3	1
ATF2	ATF3	1
ATF2	CCND1	1
ATF2	CDKN1A	1
ATF2	CYP11B1	1
ATF2	CYP11B2	1
ATF2	DUSP1	1
ATF2	DUSP10	1
ATF2	FAS	1
ATF2	FASLG	1
ATF2	FN1	1
ATF2	KAT5	1
ATF2	IFNB1	1
ATF2	IFNG	1
ATF2	IMPDH2	1
ATF2	INS	1
ATF2	ITGB8	1
ATF2	JUN	1
ATF2	MAP3K1	1
ATF2	MMP2	1
ATF2	NOS3	1
ATF2	PCK1	1
ATF2	PCK2	1
ATF2	PLAT	1
ATF2	PLAU	1
ATF2	POLB	1
ATF2	PTGS2	1
ATF2	RELA	1
ATF2	RETN	1
ATF2	ST3GAL5	1
ATF2	TGFB2	1
ATF2	TNF	1
SPI1	ACP5	1
SPI1	ALOX15	1
SPI1	BCL6	1
SPI1	BPI	1
SPI1	BTK	1
SPI1	CCL2	1
SPI1	CCL5	1
SPI1	CD163	1
SPI1	CD22	1
SPI1	CD40	1
SPI1	CD68	1
SPI1	CLEC4G	1
SPI1	CSF1	1
SPI1	CSF2RA	1
SPI1	CSF3R	1
SPI1	CTSG	1
SPI1	CTSK	1
SPI1	CTSS	1
SPI1	CXCR1	1
SPI1	CYBB	1
SPI1	DAPK2	1
SPI1	ELANE	1
SPI1	ERAP2	1
SPI1	FCER1A	1
SPI1	FCGR1A	1
SPI1	FES	1
SPI1	FLI1	1
SPI1	GATA1	1
SPI1	HCK	1
SPI1	IFIT3	1
SPI1	JCHAIN	1
SPI1	IL12B	1
SPI1	IL18	1
SPI1	IL1B	1
SPI1	IL5	1
SPI1	ITGA2B	1
SPI1	ITGAM	1
SPI1	ITGAX	1
SPI1	ITGB2	1
SPI1	MACROD1	1
SPI1	MAPK1	1
SPI1	MME	1
SPI1	MNDA	1
SPI1	MS4A1	1
SPI1	MSR1	1
SPI1	NCF2	1
SPI1	NSFL1C	1
SPI1	P2RY10	1
SPI1	PARG	1
SPI1	PEBP1	1
SPI1	PRG2	1
SPI1	PRTN3	1
SPI1	PTGIR	1
SPI1	RNASE2	1
SPI1	SCARB1	1
SPI1	SCARB2	1
SPI1	STAT3	1
SPI1	TLR4	1
SPI1	TNF	1
SPI1	TNFRSF11A	1
SPI1	WAS	1
SPI1	ZNF300	1
SPI1	TRIB3	1
SPI1	RBCK1	1
SPI1	CSNK2A1	1
SPI1	TCF15	1
SPI1	SCRT2	1
SPI1	FAM110A	1
SPI1	RPS10L	1
SPI1	SNPH	1
SPI1	SDCBP2	1
SPI1	FKBP1A	1
SPI1	SIRPB2	1
SPI1	RP5-968J1.1	1
SPI1	SNRPB	1
SPI1	ZNF343	1
SPI1	CPXM1	1
SPI1	TMEM239	1
SPI1	C20orf141	1
SPI1	PCED1A	1
SPI1	VPS16	1
SPI1	DDRGK1	1
SPI1	ITPA	1
SPI1	SIGLEC1	1
SPI1	SPEF1	1
SPI1	CENPB	1
SPI1	CDC25B	1
SPI1	MAVS	1
SPI1	RNF24	1
SPI1	FTLP3	1
SPI1	RPL21P2	1
SPI1	SMOX	1
SPI1	PRND	1
SPI1	RASSF2	1
SPI1	SLC23A2	1
SPI1	RNA5SP474	1
SPI1	PCNA	1
SPI1	CDS2	1
SPI1	GPCPD1	1
SPI1	TMX4	1
SPI1	KIF16B	1
SPI1	SNRPB2	1
SPI1	RP4-705D16.3	1
SPI1	BFSP1	1
SPI1	RRBP1	1
SPI1	SNX5	1
SPI1	SNORD17	1
SPI1	MGME1	1
SPI1	PTMAP3	1
SPI1	DZANK1	1
SPI1	SEC23B	1
SPI1	LINC00652	1
SPI1	C20orf78	1
SPI1	RIN2	1
SPI1	CRNKL1	1
SPI1	CFAP61	1
SPI1	CD93	1
SPI1	GZF1	1
