miRNA	Gene	Input
hsa-miR-4687-3p	SCML4	-1
hsa-miR-4687-3p	UBXN2B	-1
hsa-miR-4687-3p	RALBP1	-1
hsa-miR-4687-3p	EVC	-1
hsa-miR-4687-3p	CEACAM1	-1
hsa-miR-4687-3p	ZRANB1	-1
hsa-miR-4687-3p	USP31	-1
hsa-miR-6730-5p	PSEN1	-1
hsa-miR-6730-5p	AIDA	-1
hsa-miR-6730-5p	MYO5C	-1
hsa-miR-6730-5p	TTC9C	-1
hsa-miR-6730-5p	SNX27	-1
hsa-miR-6730-5p	FRYL	-1
hsa-miR-6730-5p	DAZL	-1
hsa-miR-6730-5p	WIF1	-1
hsa-miR-6730-5p	CTSC	-1
hsa-miR-6730-5p	IGF1	-1
hsa-miR-6868-3p	ANKRD13C	-1
hsa-miR-6868-3p	MLEC	-1
hsa-miR-6868-3p	TIMP3	-1
hsa-miR-6868-3p	GXYLT1	-1
hsa-miR-6868-3p	CAMSAP2	-1
hsa-miR-6868-3p	FBXO32	-1
hsa-miR-6868-3p	EEF1A1	-1
hsa-miR-6868-3p	C8orf86	-1
hsa-miR-6868-3p	EHF	-1
hsa-miR-6868-3p	PLCXD3	-1
hsa-miR-6868-3p	GPR26	-1
hsa-miR-6868-3p	ACSM2A	-1
hsa-miR-6868-3p	NAV1	-1
hsa-miR-6868-3p	ILDR2	-1
hsa-miR-6868-3p	B3GNT5	-1
hsa-miR-6868-3p	FOXC1	-1
hsa-miR-6868-3p	NEGR1	-1
hsa-miR-6868-3p	ERBB4	-1
hsa-miR-6868-3p	TIMM10B	-1
hsa-miR-6868-3p	CPEB2	-1
hsa-miR-6868-3p	YY2	-1
hsa-miR-6868-3p	NUDT12	-1
hsa-miR-6868-3p	ZNF404	-1
hsa-miR-6868-3p	RFX7	-1
hsa-miR-6868-3p	NFIB	-1
hsa-miR-9500	PIANP	-1
hsa-miR-9500	KCNMA1	-1
hsa-miR-9500	TIMP3	-1
hsa-miR-9500	PKIB	-1
hsa-miR-9500	FAM168A	-1
hsa-miR-9500	C5orf51	-1
hsa-miR-9500	SLC22A23	-1
hsa-miR-7151-3p	GATAD1	-1
hsa-miR-7151-3p	DDX51	-1
hsa-miR-7151-3p	FGD4	-1
hsa-miR-7151-3p	RINL	-1
hsa-miR-7151-3p	DNPEP	-1
hsa-miR-7151-3p	CTSB	-1
hsa-miR-7151-3p	SMIM14	-1
hsa-miR-7151-3p	PRR11	-1
hsa-miR-7151-3p	CYP20A1	-1
hsa-miR-7151-3p	GCLM	-1
hsa-miR-7151-3p	MIGA1	-1
hsa-miR-7151-3p	SCN2A	-1
hsa-miR-7151-3p	RAD21	-1
hsa-miR-7151-3p	PBLD	-1
hsa-miR-7151-3p	LETM2	-1
hsa-miR-7151-3p	WAC	-1
hsa-miR-7151-3p	INIP	-1
hsa-miR-7151-3p	CEP126	-1
hsa-miR-7151-3p	NR2C1	-1
hsa-miR-7151-3p	EPS15	-1
hsa-miR-6856-5p	MLEC	-1
hsa-miR-6856-5p	SCUBE3	-1
hsa-miR-6856-5p	RORA	-1
hsa-miR-6856-5p	ATRAID	-1
hsa-miR-6856-5p	PEX19	-1
hsa-miR-6856-5p	NT5E	-1
hsa-miR-6856-5p	USB1	-1
hsa-miR-6856-5p	GNAQ	-1
hsa-miR-6856-5p	BASP1	-1
hsa-miR-6856-5p	CBFA2T3	-1
hsa-miR-6856-5p	TMEM121B	-1
hsa-miR-4789-5p	BTBD3	-1
hsa-miR-4789-5p	PLCXD1	-1
hsa-miR-4789-5p	DCUN1D4	-1
hsa-miR-4789-5p	HSPA14	-1
hsa-miR-4789-5p	TBR1	-1
hsa-miR-4789-5p	CASP8AP2	-1
hsa-miR-4789-5p	XRN2	-1
