Ensembl_ID	TCGA-CC-A8HS-01A	TCGA-RC-A6M5-01A	TCGA-DD-A119-01A	TCGA-DD-A3A9-01A	TCGA-DD-A1EJ-01A	TCGA-BW-A5NP-01A	TCGA-DD-A4NA-01A	TCGA-DD-A1EK-01A
A1BG	3.67933915	3.325028671	3.683181155	3.580180236	3.148721034	2.010088124	0.057953814	4.245085172
A1CF	4.334102549	3.398162198	4.044733816	3.098503152	5.027068115	4.598750532	3.414240705	4.039086068
A2M	5.307434227	11.00757185	9.098244785	8.536708571	8.364213263	8.006394564	5.588129286	7.779704099
A4GALT	1.207193971	2.623822186	1.074210644	2.660483761	0.478812164	1.189572969	4.15981524	1.600046005
AAAS	3.889840419	2.662327775	2.44463951	3.358411497	3.628072129	3.380148038	3.437816477	2.876719116
AACS	1.63331836	0.869644203	1.452983396	0.652930584	1.35035118	1.326858847	2.170840945	0.568602678
AADAT	1.708638668	0.683156481	0.569898741	0.130592468	2.050222427	0.186296668	0.25062983	2.341062919
AAGAB	2.842971249	2.845763213	2.832537358	3.236993997	3.380365037	3.307761123	3.841668783	2.772386639
AAK1	1.009017106	0.902905952	0.694099468	0.893498993	0.818996413	0.612552935	2.215535494	0.881148015
AAMDC	3.594558975	2.612270129	3.513962488	6.037225439	2.355041323	3.517815978	1.921727084	2.420656959
AAMP	5.127107987	4.78314807	5.040834803	5.270169159	5.46163825	5.61545779	4.881482029	4.876416736
AAR2	4.119616199	3.475788706	3.282426221	4.402040248	3.923597061	3.909606763	3.762642726	3.248630297
AARS2	2.929267444	2.288805798	1.719112672	2.297906231	2.715444084	2.775759725	2.620350508	2.224302199
AARSD1	1.686431552	0.683569069	0.459492993	1.135230183	1.041214497	1.005795297	0.915791438	0.327918123
AASDH	1.600470548	1.301016781	0.88931359	0.86149302	1.16467166	1.447526403	1.569447654	1.156268487
AASDHPPT	3.492095061	2.040184002	2.269802772	1.502922583	2.653402133	2.744952093	2.977314746	1.772105552
AATF	3.227539558	2.980740776	3.223544687	2.931170364	3.945452322	3.571908454	3.536127648	3.046828313
AATK	2.966638405	0.321556838	0.564266172	1.026116142	0.325831351	0.178893859	0.399946562	0.304939509
ABAT	4.325072467	5.299990504	4.271074957	2.657854036	4.258545889	3.531154821	0.480336726	5.512350624
ABCA1	3.701396899	2.37489684	1.446174017	3.137514566	3.100876155	3.110030709	3.405059008	2.507606529
ABCA10	0.353354894	0.362648959	0.174167345	0.051284892	0.078218067	0.197440447	0.190415641	0.063483303
ABCA2	2.493092614	2.553474463	1.432258879	1.966999902	2.641784367	2.582545205	2.660122734	2.071000182
ABCA3	0.7602458	1.672992272	0.533439568	1.886578416	0.20560239	0.7385131	3.956726124	0.414779802
ABCA4	0.355256021	0.226972024	0.059838406	0.081721922	0.130488609	0.040288379	0.028600026	0.115785624
ABCA5	2.943480224	2.2171833	1.574454549	1.042654392	1.068106579	1.970538304	1.903511071	1.19391193
ABCA6	0.576753808	1.190611901	2.2121384	0.338068621	2.235092465	0.29096279	0.110943403	3.320878758
ABCA7	1.265540634	1.429937145	0.628697533	0.568478185	0.777625367	0.304360559	2.225380263	1.333146954
ABCA8	0.15601535	2.947438658	0.546075958	0.345428315	0.411329977	0.120876292	0.068577059	0.168657082
ABCA9	0.507408436	0.875683629	0.415781723	0.037240698	0.419103535	0.139667205	0.110834469	0.26506728
ABCB1	0.15130857	2.981967646	2.788561137	0.402505503	2.960779839	0.069334072	0.348665519	1.702609504
ABCB10	4.107790759	2.023390637	2.823200612	2.901626029	3.313818362	3.963806112	3.532986388	3.090537195
ABCB4	2.21708027	3.098070843	2.415988625	1.388277445	2.963070762	1.370338476	0.104967676	4.467170483
ABCB6	1.707268878	1.298573259	1.84890995	2.23336104	2.271505227	2.889106828	1.234495226	1.081940888
ABCB7	1.943417151	2.840664032	2.042778447	2.298893549	3.497481594	2.652455414	3.144772384	2.745237322
ABCB8	1.624630657	2.367453036	2.491753967	3.215877359	2.837057112	2.043679756	3.169998951	2.934419537
ABCB9	0.166547982	0.183758668	0.164820717	0.160520758	0.285473257	0.145596859	0.438851718	0.214151294
ABCC1	1.222465745	1.633954628	0.455876704	1.343274236	0.39214457	0.406497748	3.616702391	1.645066622
ABCC10	2.45687388	1.204900792	0.846622497	2.576360843	1.619826762	2.132921357	2.771917643	1.027071757
ABCC11	0.28520151	0.57714616	0.411983228	0.310216025	1.002537636	0.189734788	0.427598604	2.4546193
ABCC2	3.701755608	4.298632851	4.062619004	3.66945042	4.845800153	4.537986307	2.72765372	4.684174133
ABCC3	3.288061183	2.706922049	2.410848098	4.812681598	4.35146063	3.308113959	6.918275475	4.788312761
