Pathway	Gene	Correlation					Module name	Gene	Correlation
Glycolysis / Gluconeogenesis	PKM	1					Module1	UBE2D3	1
Glycolysis / Gluconeogenesis	GPI	1					Module1	UBE2E1	1
Glycolysis / Gluconeogenesis	ALDOA	1					Module1	TRIM37	1
Glycolysis / Gluconeogenesis	ALDOC	1					Module1	UBE2E3	1
Glycolysis / Gluconeogenesis	PFKP	1					Module1	UBE2K	1
Glycolysis / Gluconeogenesis	PGAM1	1					Module1	UBE2Q2	1
Glycolysis / Gluconeogenesis	TPI1	1					Module1	UBE2R2	1
Glycolysis / Gluconeogenesis	ENO1	1					Module2	MUTYH	1
Glycolysis / Gluconeogenesis	ENO2	1					Module2	NEIL3	1
Spliceosome	WBP11	1					Module2	PARP1	1
Spliceosome	SNRPA1	1					Module2	PARP2	1
Spliceosome	SNRPD1	1					Module2	POLD3	1
Spliceosome	SNW1	1					Module2	UNG	1
Spliceosome	RBM17	1					Module2	OGG1	1
Spliceosome	TRA2B	1					Module3	ATG12	1
Spliceosome	PRPF4	1					Module3	PTEN	1
Spliceosome	BCAS2	1					Module3	MAP2K2	1
Spliceosome	THOC1	1					Module3	SETD7	1
Spliceosome	SMNDC1	1					Module3	RBL2	1
Spliceosome	SRSF1	1					Module3	MAPK1	1
Spliceosome	SRSF3	1					Module3	MAPK3	1
Ribosome	RPL10	1					Module3	MAPK8	1
Ribosome	RPL10A	1					Module3	MAPK9	1
Ribosome	RPL12	1							
Ribosome	RPL13	1							
Ribosome	RPL13A	1							
Ribosome	RPL15	1							
Ribosome	RPL18	1							
Ribosome	RPL19	1							
Ribosome	RPL23A	1							
Ribosome	RPL27	1							
Ribosome	RPL27A	1							
Ribosome	RPL29	1							
Ribosome	RPL3	1							
Ribosome	RPL31	1							
Ribosome	RPL32	1							
Ribosome	RPL34	1							
Ribosome	RPL35	1							
Ribosome	RPL35A	1							
Ribosome	RPL36	1							
Ribosome	RPL37	1							
Ribosome	RPL37A	1							
Ribosome	RPL38	1							
Ribosome	RPL5	1							
Ribosome	RPL7A	1							
Ribosome	RPS10	1							
Ribosome	RPS11	1							
Ribosome	RPS12	1							
Ribosome	RPS13	1							
Ribosome	RPS14	1							
Ribosome	MRPL14	1							
Ribosome	RPS15A	1							
Ribosome	RPS18	1							
Ribosome	RPS19	1							
Ribosome	MRPL21	1							
Ribosome	MRPL24	1							
Ribosome	RPS26	1							
Ribosome	RPS27	1							
Ribosome	RPS27A	1							
Ribosome	RPS29	1							
Ribosome	RPS4X	1							
Ribosome	RPS6	1							
Ribosome	RPS8	1							
Ribosome	RPS9	1							
Ribosome biogenesis in eukaryotes	SBDS	1							
Ribosome biogenesis in eukaryotes	XRN2	1							
Ribosome biogenesis in eukaryotes	RIOK1	1							
Ribosome biogenesis in eukaryotes	RCL1	1							
Ribosome biogenesis in eukaryotes	NAT10	1							
Ribosome biogenesis in eukaryotes	GTPBP4	1							
Ribosome biogenesis in eukaryotes	UTP6	1							
Ribosome biogenesis in eukaryotes	GAR1	1							
Ribosome biogenesis in eukaryotes	WDR43	1							
Ribosome biogenesis in eukaryotes	NOP56	1							
Ribosome biogenesis in eukaryotes	WDR75	1							
Ribosome biogenesis in eukaryotes	RPP30	1							
Ribosome biogenesis in eukaryotes	GNL3	1							
Ubiquitin mediated proteolysis	BIRC2	1							
Ubiquitin mediated proteolysis	KEAP1	1							
Ubiquitin mediated proteolysis	CUL2	1							
Ubiquitin mediated proteolysis	CUL5	1							
Ubiquitin mediated proteolysis	FANCL	1							
Ubiquitin mediated proteolysis	ERCC8	1							
Ubiquitin mediated proteolysis	CDC23	1							
Ubiquitin mediated proteolysis	CDC27	1							
Ubiquitin mediated proteolysis	FBXO4	1							
Ubiquitin mediated proteolysis	RCHY1	1							
Ubiquitin mediated proteolysis	ANAPC13	1							
Ubiquitin mediated proteolysis	ANAPC4	1							
Ubiquitin mediated proteolysis	SIAH1	1							
Ubiquitin mediated proteolysis	UBA3	1							
Ubiquitin mediated proteolysis	SKP1	1							
Ubiquitin mediated proteolysis	UBE2B	1							
Ubiquitin mediated proteolysis	UBE2D1	1							
Ubiquitin mediated proteolysis	UBE2D3	1							
Ubiquitin mediated proteolysis	UBE2E1	1							
Ubiquitin mediated proteolysis	TRIM37	1							
Ubiquitin mediated proteolysis	UBE2E3	1							
Ubiquitin mediated proteolysis	UBE2K	1							
Ubiquitin mediated proteolysis	UBE2Q2	1							
Ubiquitin mediated proteolysis	UBE2R2	1							
Base excision repair	MUTYH	1							
Base excision repair	NEIL3	1							
Base excision repair	PARP1	1							
Base excision repair	PARP2	1							
Base excision repair	POLD3	1							
Base excision repair	UNG	1							
Base excision repair	OGG1	1							
FoxO signaling pathway	ATG12	1							
FoxO signaling pathway	PTEN	1							
FoxO signaling pathway	MAP2K2	1							
FoxO signaling pathway	SETD7	1							
FoxO signaling pathway	RBL2	1							
FoxO signaling pathway	MAPK1	1							
FoxO signaling pathway	MAPK3	1							
FoxO signaling pathway	MAPK8	1							
FoxO signaling pathway	MAPK9	1							
FoxO signaling pathway	SOS1	1							
FoxO signaling pathway	SOS2	1							
FoxO signaling pathway	CHUK	1							
FoxO signaling pathway	GADD45G	1							
FoxO signaling pathway	PRKAA1	1							
FoxO signaling pathway	PRKAB2	1							
FoxO signaling pathway	PRMT1	1							
FoxO signaling pathway	KRAS	1							
FoxO signaling pathway	CDKN1B	1							
FoxO signaling pathway	MDM2	1							
FoxO signaling pathway	SIRT1	1							
FoxO signaling pathway	TGFBR1	1							
FoxO signaling pathway	SKP2	1							
FoxO signaling pathway	GRB2	1							
FoxO signaling pathway	PCK2	1							
FoxO signaling pathway	PIK3CA	1							
FoxO signaling pathway	PIK3CB	1							
FoxO signaling pathway	HOMER1	1							
FoxO signaling pathway	CCNG2	1							
Retrograde endocannabinoid signaling	ITPR3	1							
Retrograde endocannabinoid signaling	GNB1	1							
Retrograde endocannabinoid signaling	GNG5	1							
Retrograde endocannabinoid signaling	NDUFA4	1							
Retrograde endocannabinoid signaling	NDUFA8	1							
Retrograde endocannabinoid signaling	NDUFAB1	1							
Retrograde endocannabinoid signaling	NDUFB1	1							
Retrograde endocannabinoid signaling	DAGLA	1							
Retrograde endocannabinoid signaling	NDUFB4	1							
Retrograde endocannabinoid signaling	NDUFB5	1							
Retrograde endocannabinoid signaling	NDUFB6	1							
Retrograde endocannabinoid signaling	NDUFB9	1							
Retrograde endocannabinoid signaling	NDUFC1	1							
MicroRNAs in cancer	BMF	1							
MicroRNAs in cancer	ABCB1	1							
MicroRNAs in cancer	ABCC1	1							
MicroRNAs in cancer	SERPINB5	1							
MicroRNAs in cancer	EFNA3	1							
MicroRNAs in cancer	DNMT3A	1							
MicroRNAs in cancer	DNMT3B	1							
MicroRNAs in cancer	BAK1	1							
MicroRNAs in cancer	MYC	1							
MicroRNAs in cancer	EZR	1							
MicroRNAs in cancer	FGFR3	1							
MicroRNAs in cancer	HMGA2	1							
Proteoglycans in cancer	TIMP3	1							
Proteoglycans in cancer	PLAU	1							
Proteoglycans in cancer	COL1A1	1							
Proteoglycans in cancer	COL1A2	1							
Proteoglycans in cancer	MSN	1							
Proteoglycans in cancer	AKT3	1							
Proteoglycans in cancer	FZD1	1							
Proteoglycans in cancer	FZD8	1							
Proteoglycans in cancer	ITGA5	1							
Proteoglycans in cancer	ITGB3	1							
Proteoglycans in cancer	CAV1	1							
Proteoglycans in cancer	ITGB5	1							
Proteoglycans in cancer	MMP2	1							
Proteoglycans in cancer	MMP9	1							
Proteoglycans in cancer	GPC1	1							
Proteoglycans in cancer	TWIST1	1							
Proteoglycans in cancer	DCN	1							
Proteoglycans in cancer	ANK1	1							
Proteoglycans in cancer	FGFR1	1							
Proteoglycans in cancer	SDC2	1							
Proteoglycans in cancer	MRAS	1							
Proteoglycans in cancer	TGFB1	1							
Proteoglycans in cancer	LUM	1							
Proteoglycans in cancer	FLNA	1							
Proteoglycans in cancer	FLNC	1							
Proteoglycans in cancer	THBS1	1							
Proteoglycans in cancer	FN1	1							
Proteoglycans in cancer	SMO	1							
