Pathway	Gene	Correlation
Oxidative phosphorylation	UQCRC2	1
Oxidative phosphorylation	UQCRFS1	1
Oxidative phosphorylation	SDHB	1
Oxidative phosphorylation	UQCRH	1
Oxidative phosphorylation	COX11	1
Oxidative phosphorylation	COX15	1
Oxidative phosphorylation	NDUFAB1	1
Oxidative phosphorylation	PPA1	1
Oxidative phosphorylation	PPA2	1
Oxidative phosphorylation	COX7A2	1
Oxidative phosphorylation	COX7A2L	1
Oxidative phosphorylation	NDUFB6	1
Oxidative phosphorylation	NDUFB8	1
Oxidative phosphorylation	NDUFB9	1
Oxidative phosphorylation	NDUFS3	1
Oxidative phosphorylation	NDUFS4	1
Ribosome	MRPS15	1
Ribosome	MRPS16	1
Ribosome	MRPS18C	1
Ribosome	MRPS6	1
Ribosome	MRPS7	1
Ribosome	RSL24D1	1
Ribosome	RPL21	1
Ribosome	MRPL11	1
Ribosome	MRPL13	1
Ribosome	MRPL15	1
Ribosome	MRPL16	1
Ribosome	MRPL18	1
Ribosome	MRPL20	1
Ribosome	MRPL21	1
Ribosome	MRPL3	1
Ribosome	MRPL30	1
Ribosome	MRPL32	1
Ribosome	MRPL35	1
Ribosome	MRPS10	1
MAPK signaling pathway	CD14	1
MAPK signaling pathway	TNFRSF1A	1
MAPK signaling pathway	PTPN7	1
MAPK signaling pathway	TEK	1
MAPK signaling pathway	NFATC1	1
MAPK signaling pathway	VEGFC	1
MAPK signaling pathway	NFKB1	1
MAPK signaling pathway	MRAS	1
MAPK signaling pathway	TGFB1	1
MAPK signaling pathway	CSF1	1
MAPK signaling pathway	CSF1R	1
MAPK signaling pathway	RAC2	1
MAPK signaling pathway	DUSP1	1
MAPK signaling pathway	PDGFRB	1
MAPK signaling pathway	RASGRP2	1
MAPK signaling pathway	RASGRP3	1
MAPK signaling pathway	FAS	1
MAPK signaling pathway	MAP3K12	1
MAPK signaling pathway	MAP3K14	1
MAPK signaling pathway	MAP3K3	1
MAPK signaling pathway	PPP3CC	1
MAPK signaling pathway	MAP3K8	1
MAPK signaling pathway	MAP4K1	1
MAPK signaling pathway	PRKCB	1
MAPK signaling pathway	RELA	1
MAPK signaling pathway	MYD88	1
MAPK signaling pathway	IL1B	1
MAPK signaling pathway	IL1R1	1
MAPK signaling pathway	FLT3LG	1
