Pathway	Gene	Correlation
Pyruvate metabolism	LDHD	1
Pyruvate metabolism	GRHPR	1
Pyruvate metabolism	ACACB	1
Pyruvate metabolism	ALDH2	1
Pyruvate metabolism	ALDH7A1	1
Pyruvate metabolism	ALDH9A1	1
Pyruvate metabolism	HAGH	1
Pyruvate metabolism	ACAT1	1
Pyruvate metabolism	PKM	1
Pyruvate metabolism	PCK2	1
Glyoxylate and dicarboxylate metabolism	GRHPR	1
Glyoxylate and dicarboxylate metabolism	SHMT1	1
Glyoxylate and dicarboxylate metabolism	ACAT1	1
Glyoxylate and dicarboxylate metabolism	PCCB	1
Glyoxylate and dicarboxylate metabolism	CAT	1
Propanoate metabolism	MLYCD	1
Propanoate metabolism	HIBCH	1
Propanoate metabolism	BCKDHB	1
Propanoate metabolism	ABAT	1
Propanoate metabolism	ACACB	1
Propanoate metabolism	ALDH6A1	1
Propanoate metabolism	EHHADH	1
Propanoate metabolism	ACAT1	1
Propanoate metabolism	ECHS1	1
Propanoate metabolism	PCCB	1
Fatty acid degradation	CPT2	1
Fatty acid degradation	ACSL1	1
Fatty acid degradation	ACAA1	1
Fatty acid degradation	ACAA2	1
Fatty acid degradation	ADH1B	1
Fatty acid degradation	ADH1C	1
Fatty acid degradation	ADH4	1
Fatty acid degradation	ALDH2	1
Fatty acid degradation	HADH	1
Fatty acid degradation	ALDH7A1	1
Fatty acid degradation	ALDH9A1	1
Fatty acid degradation	EHHADH	1
Fatty acid degradation	ACAT1	1
Fatty acid degradation	ECHS1	1
Fatty acid degradation	ECI2	1
Fatty acid degradation	GCDH	1
Cysteine and methionine metabolism	SDS	1
Cysteine and methionine metabolism	AMD1	1
Cysteine and methionine metabolism	TAT	1
Cysteine and methionine metabolism	TST	1
Cysteine and methionine metabolism	ADI1	1
Cysteine and methionine metabolism	GOT2	1
Cysteine and methionine metabolism	BHMT2	1
Retinol metabolism	DHRS3	1
Retinol metabolism	DHRS4	1
Retinol metabolism	DHRS4L2	1
Retinol metabolism	HSD17B6	1
Retinol metabolism	ADH1B	1
Retinol metabolism	ADH1C	1
Retinol metabolism	ADH4	1
Retinol metabolism	RDH16	1
Retinol metabolism	RDH5	1
Retinol metabolism	UGT2B15	1
Retinol metabolism	UGT2B7	1
Retinol metabolism	CYP2A6	1
Metabolism of xenobiotics by cytochrome P450	EPHX1	1
Metabolism of xenobiotics by cytochrome P450	HSD11B1	1
Metabolism of xenobiotics by cytochrome P450	AKR7A3	1
Metabolism of xenobiotics by cytochrome P450	AKR7L	1
Metabolism of xenobiotics by cytochrome P450	ADH1B	1
Metabolism of xenobiotics by cytochrome P450	ACACB	1
Metabolism of xenobiotics by cytochrome P450	ADH1C	1
Metabolism of xenobiotics by cytochrome P450	ADH4	1
Metabolism of xenobiotics by cytochrome P450	GSTA1	1
Metabolism of xenobiotics by cytochrome P450	UGT2B15	1
Metabolism of xenobiotics by cytochrome P450	UGT2B7	1
Metabolism of xenobiotics by cytochrome P450	CYP2A6	1
Drug metabolism - cytochrome P450	FMO5	1
Drug metabolism - cytochrome P450	CYP3A5	1
Drug metabolism - cytochrome P450	ADH1A	1
Drug metabolism - cytochrome P450	ADH6	1
Drug metabolism - cytochrome P450	ALDH3B1	1
Drug metabolism - cytochrome P450	UGT2B4	1
Drug metabolism - cytochrome P450	CYP2C8	1
Drug metabolism - cytochrome P450	CYP2C9	1
Drug metabolism - cytochrome P450	CYP2D6	1
Drug metabolism - cytochrome P450	CYP2D7	1
Spliceosome	PRPF19	1
Spliceosome	PRPF38A	1
Spliceosome	DHX38	1
Spliceosome	SNRNP40	1
Spliceosome	PPIE	1
Spliceosome	PPIH	1
Spliceosome	SF3A3	1
Spliceosome	SF3B3	1
Spliceosome	MAGOH	1
Spliceosome	BCAS2	1
Spliceosome	SYF2	1
MAPK signaling pathway	ERBB3	1
MAPK signaling pathway	RPS6KA2	1
MAPK signaling pathway	RPS6KA5	1
MAPK signaling pathway	MRAS	1
MAPK signaling pathway	RASGRP4	1
MAPK signaling pathway	CSF1R	1
MAPK signaling pathway	ARRB1	1
MAPK signaling pathway	MAP3K12	1
MAPK signaling pathway	MAP3K6	1
MAPK signaling pathway	HSPA2	1
MAPK signaling pathway	KIT	1
MAPK signaling pathway	MAPT	1
MAPK signaling pathway	CACNA1C	1
MAPK signaling pathway	CACNB2	1
MAPK signaling pathway	EFNA1	1
MAPK signaling pathway	MEF2C	1
MAPK signaling pathway	IL1R1	1
MAPK signaling pathway	INSR	1
MAPK signaling pathway	FOS	1
Hippo signaling pathway	BMP6	1
Hippo signaling pathway	MOB1A	1
Hippo signaling pathway	MOB1B	1
Hippo signaling pathway	FZD1	1
Hippo signaling pathway	FZD8	1
Hippo signaling pathway	WNT2B	1
Hippo signaling pathway	WWTR1	1
Hippo signaling pathway	CDH1	1
Hippo signaling pathway	STK3	1
Hippo signaling pathway	GSK3B	1
Hippo signaling pathway	YWHAH	1
Hippo signaling pathway	TEAD2	1
Hippo signaling pathway	CTNNA1	1
Hippo signaling pathway	CCND2	1
Hippo signaling pathway	CCND3	1
Hippo signaling pathway	SMAD3	1
Hippo signaling pathway	SMAD7	1
Hippo signaling pathway	FRMD6	1
TNF signaling pathway	SOCS3	1
TNF signaling pathway	MMP14	1
TNF signaling pathway	NOD2	1
TNF signaling pathway	ICAM1	1
TNF signaling pathway	CXCL10	1
TNF signaling pathway	CSF1	1
TNF signaling pathway	VCAM1	1
TNF signaling pathway	TNFRSF1B	1
TNF signaling pathway	PIK3CD	1
TNF signaling pathway	JUNB	1
TNF signaling pathway	RIPK3	1
TNF signaling pathway	CCL2	1
TNF signaling pathway	CCL5	1
TNF signaling pathway	MLKL	1
TNF signaling pathway	IL18R1	1
Calcium signaling pathway	GNAS	1
Calcium signaling pathway	ITPKC	1
Calcium signaling pathway	ATP2B2	1
Calcium signaling pathway	SLC25A6	1
Calcium signaling pathway	FGFR1	1
Calcium signaling pathway	ORAI2	1
Calcium signaling pathway	PPP3CC	1
Calcium signaling pathway	MST1	1
Calcium signaling pathway	VDAC2	1
Calcium signaling pathway	VDAC3	1
Calcium signaling pathway	ADORA2A	1
cAMP signaling pathway	GNAS	1
cAMP signaling pathway	RAC1	1
cAMP signaling pathway	ATP1B3	1
cAMP signaling pathway	ATP2B2	1
cAMP signaling pathway	RRAS	1
cAMP signaling pathway	PPP1CA	1
cAMP signaling pathway	ACOX1	1
cAMP signaling pathway	CREB3	1
cAMP signaling pathway	CREB3L3	1
cAMP signaling pathway	SLC9A1	1
cAMP signaling pathway	ADORA2A	1
cAMP signaling pathway	MAPK3	1
cGMP-PKG signaling pathway	ATP1B3	1
cGMP-PKG signaling pathway	ATP2B2	1
cGMP-PKG signaling pathway	SLC25A6	1
cGMP-PKG signaling pathway	PPP1CA	1
cGMP-PKG signaling pathway	CREB3	1
cGMP-PKG signaling pathway	CREB3L3	1
cGMP-PKG signaling pathway	PPP3CC	1
cGMP-PKG signaling pathway	VASP	1
cGMP-PKG signaling pathway	VDAC2	1
cGMP-PKG signaling pathway	VDAC3	1
cGMP-PKG signaling pathway	MAPK3	1
PI3K-Akt signaling pathway	ITGA3	1
PI3K-Akt signaling pathway	ITGA4	1
PI3K-Akt signaling pathway	ITGA5	1
PI3K-Akt signaling pathway	JAK2	1
PI3K-Akt signaling pathway	JAK3	1
PI3K-Akt signaling pathway	TLR2	1
PI3K-Akt signaling pathway	TLR4	1
PI3K-Akt signaling pathway	CSF1	1
PI3K-Akt signaling pathway	CSF1R	1
PI3K-Akt signaling pathway	CSF3R	1
PI3K-Akt signaling pathway	SYK	1
PI3K-Akt signaling pathway	GNB4	1
PI3K-Akt signaling pathway	GNG2	1
PI3K-Akt signaling pathway	GNGT2	1
PI3K-Akt signaling pathway	TNC	1
PI3K-Akt signaling pathway	PIK3CD	1
PI3K-Akt signaling pathway	PIK3R5	1
PI3K-Akt signaling pathway	PIK3R6	1
PI3K-Akt signaling pathway	IL2RB	1
PI3K-Akt signaling pathway	IL2RG	1
PI3K-Akt signaling pathway	IL7R	1
PI3K-Akt signaling pathway	LPAR5	1
PI3K-Akt signaling pathway	LPAR6	1
AMPK signaling pathway	FBP1	1
AMPK signaling pathway	G6PC3	1
AMPK signaling pathway	PCK1	1
AMPK signaling pathway	PCK2	1
AMPK signaling pathway	CREB3	1
AMPK signaling pathway	CREB3L3	1
AMPK signaling pathway	PPP2R1A	1
AMPK signaling pathway	LEPR	1
AMPK signaling pathway	PPP2R1B	1
AMPK signaling pathway	PFKM	1
AMPK signaling pathway	GYS1	1
Neuroactive ligand-receptor interaction	GRIN3A	1
Neuroactive ligand-receptor interaction	S1PR4	1
Neuroactive ligand-receptor interaction	P2RY13	1
Neuroactive ligand-receptor interaction	P2RY6	1
Neuroactive ligand-receptor interaction	HRH1	1
Neuroactive ligand-receptor interaction	GZMA	1
Neuroactive ligand-receptor interaction	C3AR1	1
Neuroactive ligand-receptor interaction	ADM	1
Neuroactive ligand-receptor interaction	ADORA3	1
Neuroactive ligand-receptor interaction	C5AR1	1
Neuroactive ligand-receptor interaction	FPR3	1
Neuroactive ligand-receptor interaction	PTAFR	1
Neuroactive ligand-receptor interaction	LPAR6	1
Neuroactive ligand-receptor interaction	PTGER4	1
Phagosome	ITGA5	1
Phagosome	ITGAM	1
Phagosome	ITGB2	1
Phagosome	CD209	1
Phagosome	CYBB	1
Phagosome	TAP1	1
Phagosome	TAP2	1
Phagosome	CORO1A	1
Phagosome	TLR2	1
Phagosome	TLR4	1
Phagosome	TLR6	1
Phagosome	FCGR2A	1
Phagosome	FCGR3A	1
Phagosome	HLA-DMA	1
Phagosome	HLA-DMB	1
Phagosome	HLA-DOA	1
Phagosome	HLA-DPA1	1
Phagosome	HLA-DPB1	1
Phagosome	HLA-DQA1	1
Phagosome	HLA-DQB1	1
Phagosome	HLA-DRA	1
Phagosome	HLA-DRB1	1
Phagosome	HLA-DRB5	1
Phagosome	NCF1	1
Phagosome	NCF2	1
Phagosome	NCF4	1
Phagosome	MSR1	1
Phagosome	CTSL	1
Phagosome	CTSS	1
Phagosome	DYNC1LI1	1
Lysosome	GNPTAB	1
Lysosome	PSAP	1
Lysosome	CD68	1
Lysosome	LAPTM5	1
Lysosome	ACP5	1
Lysosome	LGMN	1
Lysosome	NPC2	1
Lysosome	CTSB	1
Lysosome	AP1B1	1
Lysosome	CTSL	1
Lysosome	AP1S2	1
Lysosome	CTSS	1
Lysosome	CTSW	1
Lysosome	CTSZ	1
Peroxisome	MLYCD	1
Peroxisome	EPHX2	1
Peroxisome	ACSL1	1
Peroxisome	CRAT	1
Peroxisome	SOD1	1
Peroxisome	DHRS4	1
Peroxisome	ECI2	1
Peroxisome	NUDT7	1
Peroxisome	PEX11G	1
Peroxisome	PEX14	1
Peroxisome	PXMP2	1
Peroxisome	MPV17	1
Peroxisome	DECR2	1
Peroxisome	ACAA1	1
Peroxisome	EHHADH	1
Peroxisome	PAOX	1
Peroxisome	CAT	1
Peroxisome	HMGCL	1
Focal adhesion	THBS3	1
Focal adhesion	ITGA2	1
Focal adhesion	ITGA3	1
Focal adhesion	ITGAV	1
Focal adhesion	COL4A4	1
Focal adhesion	ITGB5	1
Focal adhesion	IGF1R	1
Focal adhesion	LAMA5	1
Focal adhesion	PIP5K1C	1
Focal adhesion	PDGFC	1
Focal adhesion	PDGFD	1
Focal adhesion	ACTN4	1
Focal adhesion	GSK3B	1
Focal adhesion	FLNA	1
Focal adhesion	VCL	1
Focal adhesion	BCL2	1
Focal adhesion	PAK1	1
Focal adhesion	SPP1	1
Focal adhesion	CCND2	1
Focal adhesion	CCND3	1
Regulation of actin cytoskeleton	RAC1	1
Regulation of actin cytoskeleton	MYH14	1
Regulation of actin cytoskeleton	RRAS	1
Regulation of actin cytoskeleton	BRK1	1
Regulation of actin cytoskeleton	PPP1CA	1
Regulation of actin cytoskeleton	FGFR1	1
Regulation of actin cytoskeleton	EZR	1
Regulation of actin cytoskeleton	F2	1
Regulation of actin cytoskeleton	ACTB	1
Regulation of actin cytoskeleton	ACTG1	1
Regulation of actin cytoskeleton	BAIAP2	1
Regulation of actin cytoskeleton	LIMK1	1
Regulation of actin cytoskeleton	PFN1	1
Regulation of actin cytoskeleton	SLC9A1	1
Regulation of actin cytoskeleton	MAPK3	1
Hematopoietic cell lineage	ITGA3	1
Hematopoietic cell lineage	ITGA4	1
Hematopoietic cell lineage	ITGA5	1
Hematopoietic cell lineage	IL7R	1
Hematopoietic cell lineage	ITGAM	1
Hematopoietic cell lineage	CD2	1
Hematopoietic cell lineage	CD33	1
